REF_DATE,GEO,"Highest certificate, diploma or degree",Census year,Percent
2021,Canada,"No certificate, diploma or degree",2021,16.2
2021,Canada,High (secondary) school diploma or equivalency certificate,2021,26.7
2021,Canada,"Postsecondary certificate, diploma or degree",2021,57.2
2021,Canada,Apprenticeship or trades certificate or diploma,2021,8.7
2021,Canada,Non-apprenticeship trades certificate or diploma,2021,4.8
2021,Canada,Apprenticeship certificate,2021,3.9
2021,Canada,"College, CEGEP or other non-university certificate or diploma",2021,18.8
2021,Canada,University certificate or diploma below bachelor level,2021,3
2021,Canada,Bachelor’s degree or higher,2021,26.7
2021,Canada,Bachelor's degree,2021,17.5
2021,Canada,University certificate or diploma above bachelor level,2021,1.8
2021,Canada,"Degree in medicine, dentistry, veterinary medicine or optometry",2021,0.7
2021,Canada,Master's degree,2021,5.7
2021,Canada,Earned doctorate,2021,0.9
