measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Canada,Both,<5 years,Unintentional injuries,Rate,2019,5.151033115810232,5.552575445015727,4.762479004585475
Deaths,Canada,Both,5-9 years,Unintentional injuries,Rate,2019,1.2029562275876846,1.281553775301418,1.121609922516667
Deaths,Canada,Both,10-14 years,Unintentional injuries,Rate,2019,1.1757260751479157,1.2438503423329736,1.1079464424414998
Deaths,Canada,Both,15-19 years,Unintentional injuries,Rate,2019,2.3965970098680915,2.592809118119486,2.217459608285373
Deaths,Canada,Both,20-24 years,Unintentional injuries,Rate,2019,3.6881707216711423,3.9849960354932654,3.4192240746351064
Deaths,Canada,Both,25-29 years,Unintentional injuries,Rate,2019,4.125595600451827,4.47397489597554,3.78682351167182
Deaths,Canada,Both,30-34 years,Unintentional injuries,Rate,2019,4.218860944919509,4.564205329917765,3.8999728860206675
Deaths,Canada,Both,35-39 years,Unintentional injuries,Rate,2019,4.347002121090171,4.663064915163859,4.012428047857926
Deaths,Canada,Both,40-44 years,Unintentional injuries,Rate,2019,4.305742311100235,4.630353607777999,3.941362353560717
Deaths,Canada,Both,45-49 years,Unintentional injuries,Rate,2019,5.32223284527295,5.747504224302464,4.971956227106735
Deaths,Canada,Both,50-54 years,Unintentional injuries,Rate,2019,7.436144395953812,7.909466952464608,6.995765080091892
Deaths,Canada,Both,55-59 years,Unintentional injuries,Rate,2019,9.966186544851293,10.496775832065586,9.386340224333852
Deaths,Canada,Both,60-64 years,Unintentional injuries,Rate,2019,14.035150718713735,15.084824559866282,13.039860734706592
Deaths,Canada,Both,65-69 years,Unintentional injuries,Rate,2019,20.39088555131528,21.99395694361593,18.74067018809374
Deaths,Canada,Both,70-74 years,Unintentional injuries,Rate,2019,35.98723876046476,39.441311128633345,32.81707038715749
Deaths,Canada,Both,75-79 years,Unintentional injuries,Rate,2019,71.75575191327803,78.50132414198454,62.97687978766687
Deaths,Canada,Both,80-84 years,Unintentional injuries,Rate,2019,164.3341796118177,185.00320302295566,139.61861240286163
Deaths,Canada,Both,85-89 years,Unintentional injuries,Rate,2019,408.5192170962832,470.2583083399596,332.3140192412604
Deaths,Canada,Both,90-94 years,Unintentional injuries,Rate,2019,777.8679025219867,879.2922840044237,617.2067460531833
Deaths,Canada,Both,95+ years,Unintentional injuries,Rate,2019,1327.031583403395,1518.6357579727467,985.2053637821217
Deaths,Canada,Both,<5 years,Transport injuries,Rate,2019,1.3559439946963918,1.4985124744858271,1.2259405571958584
Deaths,Canada,Both,5-9 years,Transport injuries,Rate,2019,0.9320855592824009,1.0429105596595492,0.8196211210156598
Deaths,Canada,Both,10-14 years,Transport injuries,Rate,2019,1.2093771679945904,1.3510530839076502,1.0825017203096785
Deaths,Canada,Both,15-19 years,Transport injuries,Rate,2019,7.096698070856942,7.839963192653526,6.455401165020187
Deaths,Canada,Both,20-24 years,Transport injuries,Rate,2019,9.474832749876779,10.367513808786931,8.62775385250635
Deaths,Canada,Both,25-29 years,Transport injuries,Rate,2019,7.62198363766897,8.648783360056706,6.828182393715268
Deaths,Canada,Both,30-34 years,Transport injuries,Rate,2019,6.550230352220545,7.439441518593527,5.6895243319298965
Deaths,Canada,Both,35-39 years,Transport injuries,Rate,2019,5.680980234848622,6.3582038512184935,5.106704731337745
Deaths,Canada,Both,40-44 years,Transport injuries,Rate,2019,5.66111421106855,6.301658810049879,5.067390720467038
Deaths,Canada,Both,45-49 years,Transport injuries,Rate,2019,5.6862804799709075,6.311971968892201,5.115881955734362
Deaths,Canada,Both,50-54 years,Transport injuries,Rate,2019,6.007837255475777,6.647656635147981,5.468094069617212
Deaths,Canada,Both,55-59 years,Transport injuries,Rate,2019,6.257445085619921,7.052152666037951,5.602819213806937
Deaths,Canada,Both,60-64 years,Transport injuries,Rate,2019,6.364626012953838,7.145512729861636,5.762352146571565
Deaths,Canada,Both,65-69 years,Transport injuries,Rate,2019,6.790290003441978,7.609272038112475,6.033033807902833
Deaths,Canada,Both,70-74 years,Transport injuries,Rate,2019,7.695235478047163,8.63267059200314,6.790687145902129
Deaths,Canada,Both,75-79 years,Transport injuries,Rate,2019,10.230982825564226,11.441577503311184,9.022590328408352
Deaths,Canada,Both,80-84 years,Transport injuries,Rate,2019,11.72613530325931,13.480427486827868,9.929506606172556
Deaths,Canada,Both,85-89 years,Transport injuries,Rate,2019,15.43556247091081,17.677589704340704,12.807183141957127
Deaths,Canada,Both,90-94 years,Transport injuries,Rate,2019,16.76797118758639,19.07620103396689,13.47039109824173
Deaths,Canada,Both,95+ years,Transport injuries,Rate,2019,16.806130422573286,19.217060450857836,12.762502121017757
