measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Nutritional deficiencies,Number,2019,251577.35270159022,289040.0656104014,221149.73926341743
Deaths,Global,Both,All ages,Nutritional deficiencies,Percent,2019,0.004449676194405365,0.005023462262253083,0.003963935450835456
Deaths,Global,Both,All ages,Nutritional deficiencies,Rate,2019,3.2514184550841483,3.735591433379654,2.858168018132492
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,953728.3140635482,1108382.1489196809,849268.8780399981
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.016877758170335974,0.019793676376267506,0.014960943732533507
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,12.326108881353639,14.324875174904797,10.97606153230821
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Number,2019,3683097.551957936,4011671.9543753834,3382547.4219005597
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.06514895383695311,0.06896863084314384,0.06100334201564927
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,47.60083220414457,51.84737055275154,43.71648319954386
Deaths,Global,Both,All ages,Enteric infections,Number,2019,1748251.4909485346,2416191.59021406,1286411.0769440976
Deaths,Global,Both,All ages,Enteric infections,Percent,2019,0.030920469017837186,0.04259637796625925,0.022778562004817017
Deaths,Global,Both,All ages,Enteric infections,Rate,2019,22.594629845480917,31.227174636659797,16.625744215386504
Deaths,Global,Both,All ages,Other infectious diseases,Number,2019,730486.28636117,904683.9393248751,605255.81975398
Deaths,Global,Both,All ages,Other infectious diseases,Percent,2019,0.012917149659046279,0.015834961956106713,0.010807457155530897
Deaths,Global,Both,All ages,Other infectious diseases,Rate,2019,9.440899855074989,11.6922529979406,7.822405002923527
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Number,2019,2078909.7893603297,2451710.700574644,1783925.2047891119
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Percent,2019,0.03674515329278875,0.04193445146073244,0.03249660687210247
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Rate,2019,26.86810073718754,31.68622824261596,23.0556815669379
Deaths,Global,Both,All ages,Non-communicable diseases,Number,2019,42034124.45851615,43942475.73422497,40081323.113309674
Deaths,Global,Both,All ages,Non-communicable diseases,Percent,2019,0.7436713518938817,0.7571679422733784,0.7282061652373859
Deaths,Global,Both,All ages,Non-communicable diseases,Rate,2019,543.2544962417023,567.9182765462151,518.0162374527689
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Number,2019,747343.7153240553,1247137.8087542348,406562.0758628991
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Percent,2019,0.01321213830772649,0.021997295719169398,0.007310734971779823
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Rate,2019,9.65876746138615,16.118171384951907,5.254461192164362
Deaths,Global,Both,All ages,Injuries,Number,2019,4299440.550189686,4611536.817696144,3920266.4792103255
Deaths,Global,Both,All ages,Injuries,Percent,2019,0.07605734962702532,0.07956275771691579,0.06994849202300298
Deaths,Global,Both,All ages,Injuries,Rate,2019,55.5665293449743,59.600102132971095,50.66603429312437
Deaths,High-middle SDI,Both,All ages,Nutritional deficiencies,Number,2019,17139.76671071589,18564.014190121197,15214.938610176157
Deaths,High-middle SDI,Both,All ages,Nutritional deficiencies,Percent,2019,0.0014790111641155236,0.001588934332257376,0.0013216898933397646
Deaths,High-middle SDI,Both,All ages,Nutritional deficiencies,Rate,2019,1.1982466960063316,1.297816303066721,1.0636813340163156
Deaths,High-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2019,53282.10147524645,56269.08372690279,51092.04107277653
Deaths,High-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,2019,0.004600301310272764,0.004951578525686103,0.004301532572731332
Deaths,High-middle SDI,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2019,3.724969139111545,3.933790045165009,3.571861300154015
Deaths,High-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Number,2019,378077.1474486458,402695.9947374992,343766.0069105076
Deaths,High-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Percent,2019,0.03262638029532914,0.034460171576511066,0.029915573625358717
Deaths,High-middle SDI,Both,All ages,Respiratory infections and tuberculosis,Rate,2019,26.431497021636847,28.15260868676296,24.03279396575871
Deaths,High-middle SDI,Both,All ages,Enteric infections,Number,2019,33683.48763490344,46431.78962286787,25180.178503002855
Deaths,High-middle SDI,Both,All ages,Enteric infections,Percent,2019,0.002907492959286458,0.0040608341992062315,0.0021588072166727084
Deaths,High-middle SDI,Both,All ages,Enteric infections,Rate,2019,2.3548236361501376,3.2460615972373743,1.7603545138808108
Deaths,High-middle SDI,Both,All ages,Other infectious diseases,Number,2019,29900.77338662694,33754.12992792092,27085.12631284928
Deaths,High-middle SDI,Both,All ages,Other infectious diseases,Percent,2019,0.0025800049549219873,0.0028893096593126605,0.002369065194079785
