measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Canada,Male,15-19 years,Ischemic heart disease,Number,2019,1.5859797570884295,2.1168276567555457,1.1167394222700324
Deaths,Canada,Female,15-19 years,Ischemic heart disease,Number,2019,0.8290531326094394,1.1200792130005908,0.6020004718080618
Deaths,Canada,Both,15-19 years,Ischemic heart disease,Number,2019,2.4150328896978723,3.1512051692386773,1.7773605800792964
Deaths,Canada,Male,15-19 years,Ischemic heart disease,Percent,2019,0.003433854810947584,0.004566174073266637,0.0024427252937366034
Deaths,Canada,Female,15-19 years,Ischemic heart disease,Percent,2019,0.003633049611733374,0.004913707491767937,0.002625507159424449
Deaths,Canada,Both,15-19 years,Ischemic heart disease,Percent,2019,0.0034997685482103342,0.004579883105487126,0.0025700154584792677
Deaths,Canada,Male,15-19 years,Ischemic heart disease,Rate,2019,0.15239589618833072,0.20340477007079386,0.10730685830323067
Deaths,Canada,Female,15-19 years,Ischemic heart disease,Rate,2019,0.08391514183817683,0.11337223433810563,0.06093331415252122
Deaths,Canada,Both,15-19 years,Ischemic heart disease,Rate,2019,0.1190455297791879,0.1553340703620251,0.08761240178830643
Deaths,Canada,Male,20-24 years,Ischemic heart disease,Number,2019,5.458969766594105,7.222287521733522,4.012097387408302
Deaths,Canada,Female,20-24 years,Ischemic heart disease,Number,2019,1.9413959682220499,2.5576310216437617,1.4326537980433556
Deaths,Canada,Both,20-24 years,Ischemic heart disease,Number,2019,7.400365734816167,9.734740539303305,5.565741813209129
Deaths,Canada,Male,20-24 years,Ischemic heart disease,Percent,2019,0.006329004789841661,0.00838816807042022,0.004657732854916658
Deaths,Canada,Female,20-24 years,Ischemic heart disease,Percent,2019,0.005771727687782343,0.007633640742966095,0.004247269594574601
Deaths,Canada,Both,20-24 years,Ischemic heart disease,Percent,2019,0.006172642427545623,0.008133007937508974,0.004615022124022999
Deaths,Canada,Male,20-24 years,Ischemic heart disease,Rate,2019,0.48593693119843884,0.6429008374475057,0.3571418006447123
Deaths,Canada,Female,20-24 years,Ischemic heart disease,Rate,2019,0.18070104558054603,0.23805890574890012,0.1333483964626039
Deaths,Canada,Both,20-24 years,Ischemic heart disease,Rate,2019,0.3367231726612179,0.44293928663640814,0.2532461649482972
Deaths,Canada,Male,25-29 years,Ischemic heart disease,Number,2019,17.335368823469096,21.125291070082056,13.902935936233867
Deaths,Canada,Female,25-29 years,Ischemic heart disease,Number,2019,4.234456265522045,5.3909788820137905,3.228109353898005
Deaths,Canada,Both,25-29 years,Ischemic heart disease,Number,2019,21.569825088991124,26.20948873273641,17.41441153856437
Deaths,Canada,Male,25-29 years,Ischemic heart disease,Percent,2019,0.016004732931453058,0.019539031778764582,0.0128216175611062
